FID,X,Y,Call_Taken,Location,Day,x2,y2
203,-10378692.614871,5615856.290271,12/29/2015 12:00:00 AM,2521 9th st s,Day 1,-10378692.6148697,5615856.29027065
204,-10380148.381703,5613105.74586,12/30/2015 12:00:00 AM,1837 31st st e,Day 1,-10380148.3817021,5613105.74586007
205,-10383082.006157,5615788.704509,12/29/2015 12:00:00 AM,1928 3rd Ave s.,Day 1,-10383082.0061561,5615788.70450864
206,-10382890.067568,5621788.123644,12/30/2015 12:00:00 AM,1434 Marshall St NE,Day 1,-10382890.0675671,5621788.12364392
207,-10380262.631598,5625461.775972,12/29/2015 12:00:00 AM,3137 Central Ave NE,Day 1,-10380262.6315968,5625461.77597168
208,-10387610.423073,5625395.323038,12/30/2015 12:00:00 AM,3827 Thomas Ave N,Day 1,-10387610.4230717,5625395.32303795
209,-10381388.865224,5622070.351053,12/30/2015 12:00:00 AM,1534 Washington St NE,Day 1,-10381388.8652231,5622070.35105309
210,-10377183.703886,5617250.084867,12/29/2015 12:00:00 AM,2609 university ave se,Day 1,-10377183.7038847,5617250.08486689
211,0,0,12/30/2015 12:00:00 AM,2811 blaisedale s,Day 1
212,-10381939.384957,5611119.527007,12/29/2015 12:00:00 AM,3812 Chicago,Day 1,-10381939.3849558,5611119.52700665
213,-10383839.03266,5613917.124131,12/30/2015 12:00:00 AM,2821 blaisdell av s,Day 1,-10383839.0326594,5613917.12413146
214,-10380262.574328,5625488.518213,12/29/2015 12:00:00 AM,3127 Central Ave NE,Day 1,-10380262.574327,5625488.51821337
215,-10382892.209456,5621922.808487,12/30/2015 12:00:00 AM,1501 Marshall St NE,Day 1,-10382892.2094553,5621922.8084866
216,-10381459.897923,5615802.302318,12/29/2015 12:00:00 AM,1920 11 av s,Day 1,-10381459.8979219,5615802.30231832
217,-10378864.415329,5618607.071436,12/30/2015 12:00:00 AM,500 14th ave se,Day 1,-10378864.4153276,5618607.07143626
218,-10383086.929917,5609041.120483,12/29/2015 12:00:00 AM,4544 3rd ave s,Day 1,-10383086.9299163,5609041.12048332
219,-10382339.150772,5623700.795172,12/30/2015 12:00:00 AM,2537 2nd St NE,Day 1,-10382339.1507707,5623700.79517238
220,-10384780.953064,5623706.48168,12/29/2015 12:00:00 AM,3243 lyndale ave north,Day 1,-10384780.9530626,5623706.48167999
221,-10378844.381253,5618642.565061,12/30/2015 12:00:00 AM,524 14th ave se,Day 1,-10378844.3812523,5618642.56506067
