Row Number,Date Captured,Location Category,Store,Address
76,2024-09-02,Coffee + Tea,Capital One Café,S132
77,2024-09-02,Women's Apparel,Carhartt,N162
78,2024-09-02,Coffee + Tea,Caribou Coffee,S380
79,2024-09-02,Coffee + Tea,Caribou Coffee,N224
80,2024-09-02,Coffee + Tea,Caribou Coffee,N194
81,2024-09-02,Coffee + Tea,Caribou Coffee,CTransit
82,2024-09-02,Toys + Games + Hobbies,Caricatures,UNickelodeon
83,2024-09-02,Sweets + Treats,Carlo's Bakery,N335
84,2024-09-02,Children's Apparel,Carter’s babies and kids + OshKosh B’gosh,S254
85,2024-09-02,Home,Casper,S140
86,2024-09-02,Full Service Restaurants,"Cedar + Stone, Urban Table",1Level
87,2024-09-02,Electronics + Tech,Cell Repair | Kiosk,E6335
88,2024-09-02,Services,Cell Shield | Kiosk,E6320
89,2024-09-02,Electronics + Tech,Cell Shield | Kiosk,S6311
90,2024-09-02,Electronics + Tech,Cell Shield | Kiosk,E6105
91,2024-09-02,Electronics + Tech,Cell Solution | Kiosk,W6113
92,2024-09-02,Electronics + Tech,Cellairis | Kiosk,N6171
93,2024-09-02,Mall of America® Gift Cards,Center Self-Service Ticketing,UNickelodeon
94,2024-09-02,Women's Apparel,Champs Sports,E205
95,2024-09-02,Accessories,CHANEL Accessories @ Nordstrom,N1000
96,2024-09-02,Women's Apparel,CHANEL Boutique @ Nordstrom,N1000
97,2024-09-02,Health + Beauty,CHANEL Fragrance and Beauty Boutique,W142
98,2024-09-02,Women's Apparel,Charlotte Russe,S255
99,2024-09-02,Accessories,Charm Planet,E6320
100,2024-09-02,Local Business,Chicago Furniture,S258
101,2024-09-02,Fast Casual,Chick-fil-A,C354
102,2024-09-02,Online Ordering,Chipotle,S322
103,2024-09-02,Books + Cards + Gifts,Chocolate Moonshine,W326
104,2024-09-02,holiday,Christmas Treasures,N184
105,2024-09-02,Men's Apparel,Chubbies,S116
106,2024-09-02,Sweets + Treats,Cinnabon,E180
107,2024-09-02,Accessories,Claire's,E179
108,2024-09-02,Accessories,Claire's,E292
109,2024-09-02,Accessories,Claire's,N394
110,2024-09-02,Shoes,Clarks,E146
111,2024-09-02,Attractions + Entertainment,ClimbZone,N252
112,2024-09-02,Women's Apparel,Club Monaco,N102
113,2024-09-02,Luggage + Bags,Coach,W274
114,2024-09-02,Coffee + Tea,Coaster Café,C5102
115,2024-09-02,Sweets + Treats,Cold Stone Creamery,S382
116,2024-09-02,Sweets + Treats,Cold Stone Creamery,E134
117,2024-09-02,Women's Apparel,Columbia Sportswear,W112
118,2024-09-02,Women's Apparel,Cotton:On,N278
119,2024-09-02,Full Service Restaurants,Cowboy Jack's,S320
120,2024-09-02,Full Service Restaurants,CRAVE,S368
121,2024-09-02,Attractions + Entertainment,Crayola Experience,S300
122,2024-09-02,Toys + Games + Hobbies,Crayola Store,S300
123,2024-09-02,Shoes,Crocs,N108
124,2024-09-02,Mall of America® Gift Cards,Custom World,E275
125,2024-09-02,Men's Apparel,Custom World | Kiosk,N6101
126,2024-09-02,Sweets + Treats,Dairy Queen/Orange Julius,E282
127,2024-09-02,Fast Casual,DeLeo Bros Pizza,E123
