email_id,label
462,Unread
462,Personal
463,Archived
463,Category Promotions
463,Unread
463,Personal
464,Archived
464,Category Promotions
464,Unread
464,Personal
465,Archived
465,Category Promotions
465,Unread
465,Personal
466,Archived
466,Category Promotions
466,Unread
466,Personal
467,Archived
467,Category Promotions
467,Unread
467,Personal
468,Archived
468,Category Promotions
468,Unread
468,Personal
469,Archived
469,Category Promotions
469,Unread
469,Personal
470,Inbox
470,Category Promotions
470,Unread
471,Inbox
471,Category Promotions
471,Unread
472,Archived
472,Category Promotions
472,Unread
472,Personal
473,Archived
473,Category Promotions
473,Unread
473,Personal
474,Archived
474,Category Promotions
474,Unread
474,Personal
475,Archived
475,Category Promotions
475,Unread
475,Personal
476,Archived
476,Category Promotions
476,Unread
476,Personal
477,Inbox
477,Category Promotions
477,Unread
478,Archived
478,Category Promotions
478,Unread
478,Personal
479,Archived
479,Category Promotions
479,Unread
479,Personal
480,Archived
480,Category Promotions
480,Unread
480,Personal
481,Archived
481,Category Promotions
481,Unread
481,Personal
482,Archived
482,Category Promotions
482,Unread
482,Personal
483,Archived
483,Category Promotions
483,Unread
483,Personal
484,Archived
484,Category Promotions
484,Unread
484,Personal
485,Archived
485,Category Promotions
485,Unread
485,Personal
486,Archived
486,Category Promotions
486,Unread
486,Personal
487,Archived
487,Category Promotions
487,Unread
487,Personal
488,Archived
488,Category Promotions
488,Unread
488,Personal
489,Inbox
489,Category Promotions
489,Unread
490,Archived
490,Category Promotions
490,Unread
490,Personal
491,Archived
491,Category Promotions
491,Unread
491,Personal
492,Archived
492,Category Promotions
492,Unread
492,Personal
493,Archived
493,Category Promotions
493,Unread
493,Personal
494,Archived
494,Category Promotions
494,Unread
494,Personal
495,Archived
495,Category Promotions
495,Unread
495,Personal
496,Archived
496,Category Promotions
496,Unread
496,Personal
497,Archived
497,Category Promotions
497,Unread
497,Personal
498,Archived
498,Category Promotions
498,Unread
498,Personal
499,Archived
499,Category Promotions
499,Unread
499,Personal
500,Archived
500,Category Promotions
500,Unread
500,Personal
501,Inbox
501,Category Promotions
501,Unread
502,Archived
502,Category Promotions
502,Unread
502,Personal
503,Archived
503,Category Promotions
503,Unread
503,Personal
504,Inbox
504,Category Promotions
504,Unread
505,Inbox
505,Category Promotions
505,Unread
506,Archived
506,Category Promotions
506,Unread
506,Personal
507,Inbox
507,Category Promotions
507,Unread
508,Archived
508,Category Promotions
508,Unread
508,Personal
509,Archived
509,Category Promotions
509,Unread
509,Personal
510,Archived
510,Category Promotions
510,Unread
510,Personal
511,Inbox
511,Category Promotions
511,Unread
512,Archived
512,Category Promotions
512,Unread
512,Personal
513,Inbox
513,Category Promotions
513,Unread
514,Archived
514,Category Promotions
514,Unread
514,Personal
515,Archived
515,Category Promotions
515,Unread
515,Personal
516,Archived
516,Category Promotions
516,Unread
516,Personal
517,Archived
517,Category Promotions
517,Unread
517,Personal
518,Archived
518,Category Promotions
518,Unread
518,Personal
519,Archived
519,Category Promotions
519,Unread
519,Personal
520,Archived
520,Category Promotions
520,Unread
520,Personal
521,Archived
521,Category Promotions
521,Unread
521,Personal
522,Inbox
522,Category Promotions
522,Unread
523,Archived
523,Category Promotions
523,Unread
523,Personal
524,Inbox
524,Category Promotions
524,Unread
525,Archived
525,Category Promotions
525,Unread
525,Personal
526,Archived
526,Category Promotions
526,Unread
526,Personal
527,Archived
527,Category Promotions
527,Unread
527,Personal
528,Archived
528,Category Promotions
528,Unread
528,Personal
529,Archived
529,Category Promotions
529,Unread
529,Personal
530,Archived
530,Category Promotions
530,Unread
530,Personal
